conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;,processed_tweet
"1857722698274845117,Sat Nov 16 09:49:40 +0000 2024,0,Bagusnya di ganti saja dari menteri Istana Persilakan Polisi Periksa Eks Menkominfo Budi Arie di Kasus Judi Online Komdigi https://t.co/cFOgzqsDxy,1857722698274845117,,,in,""Dolo, Indonesia"",0,0,0,https://x.com/Yusuf51069839/status/1857722698274845117,1007964017225166848,Yusuf51069839;",,,,,,,,,,,,,,,
1857716968561717398,Sat Nov 16 09:35:57 +0000 2024,0.0,@zainalamochtar Problem klasik pengembangan sistem nya. Ini ranah komdigi nggak sih?,1.8577192435608783e+18,,zainalamochtar,in,Timbuktu,0.0,0.0,0.0,https://x.com/supergambles/status/1857719243560878327,2385567470.0,supergambles;,problem klasik pengembangan sistem nya ranah komdigi nggak sih
1857718264232816969,Sat Nov 16 09:32:03 +0000 2024,0.0,Ni harusnya kerjaan komdigi urusin nih x isinya iklan judol iklan vulgar gw ga pernah main judol apalagi bukain akun aneh baca au 18+ aja ga pernah gilingan kesel.,1.857718264232817e+18,,,in,,0.0,0.0,0.0,https://x.com/organicsunset/status/1857718264232816969,1.2013448938654843e+18,organicsunset;,ni kerjaan komdigi urusin nih x isinya iklan judol iklan vulgar gw ga main judol bukain akun aneh baca au 18 aja ga gilingan kesel
1857714593445150845,Sat Nov 16 09:17:28 +0000 2024,0.0,Gak nyambung bat pantunnya komdigi https://t.co/2tBka9YLGU,1.8577145934451507e+18,https://pbs.twimg.com/media/GcftkzhbkAA82U9.jpg,,in,Indonesia,0.0,0.0,0.0,https://x.com/syahrifalanwar/status/1857714593445150845,4761040284.0,syahrifalanwar;,gak nyambung bat pantunnya komdigi
1857657889256571151,Sat Nov 16 08:30:44 +0000 2024,0.0,@tyaaassh Katanya mobil hitam bisa lewat tol langit?,1.8577028322769308e+18,,tyaaassh,in,,0.0,0.0,0.0,https://x.com/komdigi_id/status/1857702832276930874,2328150236.0,komdigi_id;,mobil hitam tol langit
1857701999699177780,Sat Nov 16 08:27:25 +0000 2024,0.0,Pemecatan sepuluh pegawai Komdigi yang jadi tersangka judol itu disampaikan Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid. Dia mengungkapkan jika pihaknya sudah memberhentikan pegawai judol tersebut. @golkar_id https://t.co/Riu2SDW5VU,1.8577019996991775e+18,https://pbs.twimg.com/media/GcfiG79aMAAHJiP.jpg,,in,,0.0,0.0,0.0,https://x.com/golkar_lki/status/1857701999699177780,1.743834609354408e+18,golkar_lki;,pemecatan sepuluh pegawai komdigi tersangka judol menteri komunikasi digital menkomdigi meutya hafid memberhentikan pegawai judol
1857698566053007868,Sat Nov 16 08:13:47 +0000 2024,0.0,Perang Melawan Judi Online Komdigi Tutup Akun Telegram https://t.co/cx7SXypOGR,1.857698566053008e+18,,,in,,0.0,0.0,0.0,https://x.com/MimbarAndalas_/status/1857698566053007868,1.6138148379850506e+18,MimbarAndalas_;,perang melawan judi online komdigi tutup akun telegram
1857697622443643181,Sat Nov 16 08:10:02 +0000 2024,9.0,Kementerian Komunikasi dan Digital (Komdigi) lembaga yang seharusnya memerangi dan berantas judi online justru salah satu pegawainya berperan menjadi bandar. Kabid Humas Polda Metro Jaya Kombes Pol Ade Ary Syam Indradi mengatakan pegawai Komdigi itu berinisial HE sudah https://t.co/EQLz9to51y,1.8576976224436431e+18,https://pbs.twimg.com/media/GcfeJElWUAAPfA0.jpg,,in,,0.0,1.0,2.0,https://x.com/VIVAcoid/status/1857697622443643181,41730943.0,VIVAcoid;,kementerian komunikasi digital komdigi lembaga memerangi berantas judi online salah pegawainya berperan bandar kabid humas polda metro jaya kombes pol ade ary syam indradi pegawai komdigi berinisial he
1857674054943273106,Sat Nov 16 07:42:18 +0000 2024,1.0,@papanberjalan Mention Kementrian Komdigi ah @kemkominfo masukan bagus ini,1.8576906428952333e+18,,papanberjalan,in,,0.0,0.0,0.0,https://x.com/langleuykap/status/1857690642895233429,1.4914544030809047e+18,langleuykap;,mention kementrian komdigi ah masukan bagus
"1857680317731262464,Sat Nov 16 07:01:16 +0000 2024,0,https://t.co/5LqhErI9WQ - Adanya setoran yang diterima para oknum pegawai Kementerian Komunikasi dan Digital (Komdigi) dari bandar judi online agar websitenya tidak terblokir berhasil diungkap polisi. #JudiOnline #Kominfo #Suap #Korupsi #Polri https://t.co/ZujDTuRlTf,1857680317731262464,https://pbs.twimg.com/media/GcfOZWHaMAMlsI3.jpg,,in,""North Sumatra, Indonesia"",0,0,0,https://x.com/RedaksiT648/status/1857680317731262464,1803971049027248129,RedaksiT648;",,,,,,,,,,,,,,,
